pmid,journal
42029832,Cellular and molecular neurobiology
41539305,Cell systems
40740538,World journal of stem cells
39904845,Translational stroke research
39575884,"Development (Cambridge, England)"
39562637,Scientific reports
38509259,Results and problems in cell differentiation
37978100,Advances in experimental medicine and biology
37073151,Current stem cell research & therapy
36927793,Stem cell research & therapy
36241724,Nature protocols
36196449,Regenerative therapy
35961310,Stem cell reports
35842772,Cell biology international
35552718,Journal of cell science
35370273,Biological & pharmaceutical bulletin
34448118,Stem cell reviews and reports
34306986,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
34088849,Proceedings of the National Academy of Sciences of the United States of America
34019296,"Methods in molecular biology (Clifton, N.J.)"
33815934,American journal of stem cells
33666218,Biochemical Society transactions
33659292,Bio-protocol
32839595,Nature metabolism
32587258,Cell death & disease
32500803,Journal of the American Heart Association
32375045,Cell reports
32276654,Stem cell research & therapy
32065989,Journal of neuroscience methods
32016422,Nucleic acids research
31921109,Frontiers in immunology
31884463,Journal of Alzheimer's disease : JAD
31419525,Seminars in cancer biology
31236114,Stem cells international
31221066,Biochemistry. Biokhimiia
31205685,"Cell regeneration (London, England)"
30639212,Stem cell reports
30611669,Trends in molecular medicine
30517869,Cell reports
30269953,Stem cell reports
30013107,Nature cell biology
29425719,Acta biomaterialia
29311544,Nature communications
29281720,PloS one
28973471,Nucleic acids research
28455313,EMBO molecular medicine
28170287,Cellular reprogramming
28100021,"Stem cells (Dayton, Ohio)"
27019633,International journal of biological sciences
26877091,Scientific reports
26773436,Journal of cellular physiology
25622768,Journal of bioscience and bioengineering
25503233,Nature
25410286,"Methods in molecular biology (Clifton, N.J.)"
24511468,Stem cell reports
23765875,"Stem cells (Dayton, Ohio)"
23580657,The Journal of biological chemistry
23468641,PLoS genetics
23333380,Biochemical and biophysical research communications
22771961,"Cell cycle (Georgetown, Tex.)"
22622036,The Journal of clinical investigation
21799003,The Journal of biological chemistry
21699744,Genome medicine
20139965,Nature
19898493,Nature
